binzm1,binzm2,binzm3,binzm4,binzm5,binzm6,bincs1,bincs2,bincs3,bincs4,bincs5,bincs6,binoo1,binoo2,binoo3,binoo4,binoo5,binoo6
1.074410499,1.108150482,1.143767365,1.096784942,1.174089093,1.155472562,1.151744061,1.359212006,1.779853175,1.609987726,1.51035691,1.707664024,5.284249718,5.636136719,5.618337585,5.927536509,6.209542229,5.865993556
0.844527233,1.008615407,0.919385306,1.322500955,0.956441276,1.098424175,1.073881324,1.086318634,1.216431152,1.094182989,1.155926711,1.197646229,5.369747936,5.95433776,4.884716458,5.013964953,5.23061181,5.045532695
2.068423031,1.417476698,1.327954192,1.325442023,1.208297178,1.183671404,1.55341133,1.317167278,1.605377264,1.404751636,1.355810351,1.218083019,6.017802274,5.678155089,6.260949304,5.679733576,6.08985294,5.980974558
1.006196612,1.082181865,1.101516463,1.099900156,1.59533785,1.110394828,1.150597155,1.34113451,1.699668125,1.669541499,1.656417773,2.010917633,5.461236847,5.994322969,5.500792413,6.291413461,6.129627599,5.82226812
1.714479439,1.139456044,1.184238765,1.249273597,1.259954138,1.657282586,1.498103496,1.518248468,1.536860021,1.778723313,1.514431465,2.181090814,4.798524587,5.627366772,5.854871298,6.312970618,6.541427384,6.640403255
1.106964428,1.884769858,1.487921079,1.317827461,1.208561216,1.289294672,1.39254236,1.589114231,1.919550523,1.89947424,1.430744903,1.861945143,5.927423853,6.055514163,6.446823876,6.461362483,6.304812459,6.215773862
0.96906165,1.146894454,1.120900142,1.080414512,1.05101351,1.139336825,1.191792364,1.292421865,1.290339032,1.318347953,1.5451471,1.572036782,5.48438301,5.968694356,6.490106468,6.181771515,6.136332331,6.077240662
1.048628325,1.173506738,1.09595538,1.164359103,1.194684038,1.206335975,1.235452595,1.590001734,1.389891045,1.650501163,1.567332343,1.401840112,5.079624598,5.180791896,6.100316337,6.256139837,6.016301719,5.950876744
1.041203117,4.597559831,2.213232501,1.626550283,1.592806215,1.264997649,1.349795631,2.242700455,1.732064348,1.47967254,1.731093036,1.625316491,5.931617826,6.716677894,6.175621357,5.961349158,6.294333591,5.856610408
1.119029956,1.166615832,1.186199472,1.20662865,5.318733986,2.090779613,1.355206927,1.292506263,1.545791179,1.368599675,4.577809067,2.156757638,5.366574384,6.170712291,5.811173918,6.069013278,6.308416357,5.912300275
